lyrics,artiste
I ain't Mr. Right But if you're looking for fast love,Adele
If that's love in your eyes,Adele
It's more than enough,Adele
Had some bad love,Adele
So fast love is all that I've got on my mind Ooh ooh,Adele
Ooh ooh Looking for some affirmation,Adele
Made my way into the sun,Adele
My friends got their ladies,Adele
And they're all having babies,Adele
I just wanna have some fun I won't bore you with the details baby,Adele
I don't even wanna waste your time,Adele
Let's just say that maybe,Adele
You could help me ease my mind,Adele
I ain't Mr. Right But if you're looking for fast love,Adele
If that's love in your eyes,Adele
It's more than enough,Adele
I've had some bad love,Adele
So fast love is all that I've got on my mind Ooh ooh,Adele
Baby baby,Adele
Ooh ooh,Adele
Baby baby,Adele
Ooh ooh,Adele
Baby baby,Adele
Ooh In the absence of security,Adele
I made my way into the night,Adele
Stupid cupid keeps on calling me,Adele
And I see nothing in his eyes,Adele
I miss my baby,Adele
Oh I I miss my baby,Adele
I miss my baby,Adele
I miss I miss I miss I miss my baby,Adele
Ooh I I miss my baby Take your eyes off of me so I can leave,Adele
I'm far too ashamed to do it with you watching me,Adele
This is never ending we have been here before,Adele
But I can't stay this time 'cause I don't love you anymore,Adele
Please stay where you are,Adele
Don't come any closer,Adele
Don't try to change my mind,Adele
I'm being cruel to be kind I can't love you in the dark,Adele
It feels like we're oceans apart,Adele
There is so much space between us,Adele
Maybe we're already defeated,Adele
You mustn't underestimate that when you are in doubt,Adele
But I don't want to carry on like everything is fine,Adele
The longer we ignore it all the more that we will fight,Adele
Please don't fall apart,Adele
I can't face your breaking heart,Adele
I'm trying to be brave,Adele
Stop asking me to stay I can't love you in the dark,Adele
It feels like we're oceans apart,Adele
There is so much space between us,Adele
Maybe we're already defeated,Adele
I don't regret a thing,Adele
Every word I've said,Adele
You know I'll always mean,Adele
It is the world to me,Adele
That you are in my life,Adele
But I want to live,Adele
And not just survive That's why I can't love you in the dark,Adele
It feels like we're oceans apart,Adele
There is so much space between us,Adele
Maybe we're already defeated,Adele
I want your heaven and your ocean's too,Adele
Treat me soft but touch me cool,Adele
